Fiscal Year,GDP Deflator,tx_gdp,tx_ur
2009,88.556,1179168.1,7.591666666666668
2010,89.632,1255660.8,8.25
2011,91.481,1351776.9,8.033333333333331
2012,93.185,1429588.0,6.708333333333333
2013,94.771,1526781.9,6.316666666666666
2014,96.421,1592177.6,5.1833333333333345
2015,97.316,1585985.9,4.466666666666666
2016,98.241,1582981.5,4.666666666666665
2017,100.0,1667313.0,4.358333333333333
2018,102.291,1808026.9,3.9166666666666656
2019,103.979,1864872.3,3.525
2020,105.361,1802143.7,7.7250000000000005
2021,110.172,2088972.3,5.625
2022,118.026,2436925.0,3.9166666666666665
2023,122.273,2583866.2,4.016666666666667
2024,125.22,2709392.9,4.091666666666668
